CODE~ICAO~RES~DECS~NAME~LAT~LONG~ELEV~TZONE
ACQ~~AEROLINEAS, FL~AIRCRAFT CONTROL QUEUE~~~~0~P00.0
ACR~~ARARACUARA, COLOMBIA~NO STA DATA~~~~~
ACS~~ANACORTES, WA~NO STA DATA~~~~~
ACT~KACT~WACO, TX~WACO TX~WACO REGL~31.36.6N~097.13.8W~516~M06.0
ACU~~ACHUTUPO, PANAMA~NO STA DATA~~~~~
ACV~KACV~EUREKA ARCATA, CA~EUREKA CA~ARCATA~40.58.6N~124.06.5W~1~M08.0
ACW~~AIR MARSHALL ISLD, US PACIFIC IS~NO STA DATA~~~~~
ACY~KACY~ATLANTIC CITY ACY, NJ~ATLANTIC CITY NJ~ATLANTIC CITY INTL~39.27.4N~074.34.6W~76~M05.0
ACZ~~AIR CANADA, FL~NO STA DATA~~~~~
ADA~LTAF~ADANA, TURKEY~ADANA TURKEY~ADANA~36.59.0N~035.16.8E~65~P02.0
ADB~LTBJ~IZMIR, TURKEY~IZMIR TURKEY~ADNAN MENDERES~38.17.7N~027.09.5E~412~P02.0
ADC~~ADVENTURE TOURS, TX~NO STA DATA~~~~~
ADD~HAAB~ADDIS ABABA, ETHIOPIA~ADDIS ABABA ETHIOPIA~BOLE INTL~08.58.5N~038.47.8E~7625~P03.0
ADE~OYAA~ADEN, YEMEN REPUBLIC~ADEN YEMEN~ADEN INTL~12.49.6N~045.01.8E~12~P03.0
ADF~~AGENCY DATA SYSTM, TX~NO STA DATA~~~~~
ADH~~ALDAN, RUSSIA~NO STA DATA~~~~~
ADI~~ARANDIS, NAMIBIA~NO STA DATA~~~~~
ADJ~OJAM~CIVIL AMMAN, JORDAN~AMMAN JORDAN~MARKA INTL~31.58.3N~035.59.4E~2539~P02.0
ADK~PADK~ADAK ISLAND, AK~ADAK NAS, ALASKA~ADAK NAF~51.52.8N~176.38.8W~18~M10.0
ADL~YPAD~ADELAIDE, AUSTRALIA~ADELAIDE AUS~ADELAIDE INTL~34.56.7S~138.31.8E~20~P09.5
ADM~KADM~ARDMORE OK, OK~ARDMORE OK~ARDMORE MUN~34.18.2N~097.01.2W~762~M06.0
ADN~LTAG~ANDES, COLOMBIA~ADANA TURKEY~INCIRLIK AB~36.59.8N~035.25.5E~239~P02.0
ADO~~ANDAMOOKA, AUSTRALIA~NO STA DATA~~~~~
ADP~~ANURADHAPURA, SRI LANKA~NO STA DATA~~~~~
ADQ~PADQ~KODIAK, AK~KODIAK, ALASKA~KODIAK~57.44.9N~152.29.6W~73~M09.0
ADR~~ANDREWS, SC~NO STA DATA~~~~~
ADS~KADS~DALLAS ADDISON, TX~DALLAS-ADDISON~ADDISON~32.58.1N~096.50.1W~643~M06.0
ADT~~ADA, OK~NO STA DATA~~~~~
ADU~~ARDABIL, IRAN~NO STA DATA~~~~~
ADV~~ANDOVER, UNITED KINGDOM~NO STA DATA~~~~~
ADW~KADW~CAMP SPRINGS, MD~ANDREWS AFB MARYLAND~ANDREWS AFB/NAF~38.48.6N~076.52.0W~281~M05.0
ADX~EGQL~ST ANDREWS, UNITED KINGDOM~ST ANDREWS UK~LEUCHARS AB, UK~56.22.4N~002.52.1W~38~P00.0
ADY~~ALIDAYS, SOUTH AFRICA~NO STA DATA~~~~~
ADZ~SKSP~SAN ANDRES I , COLOMBIA~SAN ANDRES IS, COL~GUSTAVO ROJAS PINILLA~12.35.3N~081.42.5W~20~M05.0
AEA~~ABEMAMA, KIRIBATI~NO STA DATA~~~~~
AEB~~AVIATECA, GUATEMALA~NO STA DATA~~~~~
AEC~~NICA, FL~AEC~~~~1~P00.0
AED~~ALENEVA, AK~NO STA DATA~~~~~
AEF~~SABRE SALES LON, UNITED KINGDOM~NO STA DATA~~~~~
AEG~~AEK GODANG, INDONESIA~ALBUQUERQUE NM~~~~5834~M07.0
AEH~FTTC~ABECHER, CHAD~ABECHE CHAD~ABECHE~13.51.0N~020.51.0E~1788~P01.0
AEI~~AMERICAN EXPRESS, TX~NO STA DATA~~~~~
AEJ~~CARIBAIR, PUERTO RICO~NO STA DATA~~~~~
AEK~~ASEKI, PAPUA NEW GUINE~NO STA DATA~~~~~
AEL~~ALBERT LEA, MN~NO STA DATA~~~~~
AEN~~FLYAAWAY VCTN, TX~NO STA DATA~~~~~
AEO~~AIOUN EL ATROUSS, MAURITANIA~NO STA DATA~~~~~
AEP~SABE~BUENOS AIRES AEP, ARGENTINA~BUENOS AIRES ARGENTINA~JORGE NEWBERY~34.33.9S~058.24.3W~20~M03.0
AER~~ADLER SOCHI, RUSSIA~NO STA DATA~~~~~
AES~ENAL~AALESUND, NORWAY~AALESUND NORWAY~VIGRA~62.33.6N~006.06.8E~71~P01.0
AET~~ALLAKAKET, AK~NO STA DATA~~~~~
AEX~KAEX~ALEXANDRIA LA, LA~ALEXANDRIA LA~ALEXANDRIA INTL~31.19.6N~092.32.9W~89~M06.0
AEY~BIAR~AKUREYRI, ICELAND~AKUREYRI ICELAND~AKUREYRI~65.39.3N~018.04.5W~6~P00.0
AEZ~~AMERICANA AVIACIO, PERU~NO STA DATA~~~~~
AFA~SAMR~SAN RAFAEL, ARGENTINA~SAN RAFAEL ARGENTINA~SAN RAFAEL~34.35.8S~068.23.4W~2447~M03.0
AFC~~AMERICAR, CANADA~NO STA DATA~~~~~
AFI~~AMALFI, COLOMBIA~NO STA DATA~~~~~
