CODE~ICAO~RES~DECS~NAME~LAT~LONG~ELEV~TZONE
ELM~KELM~ELMIRA CORNING, NY~ELMIRA NY~ELMIRA/CORNING REGL~42.09.5N~076.53.4W~955~M05.0
ELN~KELN~ELLENSBURG, WA~ELLENSBURG WA~BOWERS~47.01.9N~120.31.8W~1766~M08.0
ELO~~ELDORADO, ARGENTINA~NO STA DATA~~~~~
ELP~KELP~EL PASO, TX~EL PASO TX~EL PASO INTL~31.48.4N~106.22.6W~3956~M07.0
ELQ~OEGS~GASSIM, SAUDI ARABIA~GASSIM SAUDI ARABIA~GASSIM~26.18.1N~043.46.4E~2126~P03.0
ELR~~ELELIM, INDONESIA~NO STA DATA~~~~~
ELS~FAEL~EAST LONDON, SOUTH AFRICA~EAST LONDON SA~EAST LONDON~33.02.0S~027.49.3E~431~P02.0
ELT~~TOUR SINAI CITY, EGYPT~NO STA DATA~~~~~
ELU~DAUO~EL OUED, ALGERIA~EL OUED ALGERIA~GUEMAR~33.31.0N~006.47.0E~208~P01.0
ELV~~ELFIN COVE SPB, AK~NO STA DATA~~~~~
ELW~~ELLAMAR, AK~NO STA DATA~~~~~
ELX~~EL TIGRE, VENEZUELA~NO STA DATA~~~~~
ELY~KELY~ELY NV, NV~ELY NV~ELY~39.17.9N~114.50.5W~6255~M08.0
ELZ~KELZ~NOT IN TBL~WELLSVILLE MUNI NY~WELLSVILLE MUN/TARANTINE~42.06.5N~077.59.5W~2123~M05.0
EMA~EGNX~EAST MIDLANDS, UNITED KINGDOM~EAST MIDLANDS, U.K.~EAST MIDLANDS~52.49.8N~001.19.4W~310~P00.0
EMB~~EMBARKADERO, CA~NO STA DATA~~~~~
EMD~~EMERALD, AUSTRALIA~NO STA DATA~~~~~
EME~~EMDEN, GERMANY~NO STA DATA~~~~~
EMG~~EMPANGENI, SOUTH AFRICA~NO STA DATA~~~~~
EMH~~MALAYSIA AIRLINES, MALAYSIA~NO STA DATA~~~~~
EMI~~EMIRAU, PAPUA NEW GUINE~WESTMINSTER MARYLAND~~~~780~M05.0
EMK~~EMMONAK, AK~NO STA DATA~~~~~
EMM~~KEMMERER, WY~NO STA DATA~~~~~
EMN~~NEMA, MAURITANIA~NO STA DATA~~~~~
EMO~~EMO, PAPUA NEW GUINE~NO STA DATA~~~~~
EMP~~EMPORIA, KS~NO STA DATA~~~~~
EMS~~EMBESSA, PAPUA NEW GUINE~NO STA DATA~~~~~
EMT~~EL MONTE, CA~NO STA DATA~~~~~
EMU~~RESERVED 30, CHINA~NO STA DATA~~~~~
EMX~~EL MAITEN, ARGENTINA~NO STA DATA~~~~~
EMY~~EL MINYA, EGYPT~NO STA DATA~~~~~
EMZ~~RESERVED 37, INDONESIA~NO STA DATA~~~~~
ENA~PAEN~KENAI, AK~KENAI ALASKA~KENAI MUN~60.34.2N~151.14.8W~92~M09.0
ENB~~ENEABBA, AUSTRALIA~NO STA DATA~~~~~
ENC~LFSN~NANCY, FRANCE~NANCY,FRANCE~ESSEY~48.41.5N~006.13.6E~1~P01.0
ENE~~ENDE, INDONESIA~NO STA DATA~~~~~
ENF~~ENONTEKIO, FINLAND~NO STA DATA~~~~~
ENH~~ENSHI, CHINA~NO STA DATA~~~~~
ENI~LTBR~NOT IN TBL~YENISEHIR TURKEY~YENISEHIR AB~40.15.3N~029.33.8E~760~P02.0
ENJ~~EL NARANJO, GUATEMALA~NO STA DATA~~~~~
ENK~~ENNISKILLEN, UNITED KINGDOM~NO STA DATA~~~~~
ENL~KENL~CENTRALIA IL, IL~CENTRALIA, IL~CENTRALIA MUN~38.30.8N~089.05.5W~534~M06.0
ENM~~JAEN, PERU~NO STA DATA~~~~~
ENN~~NENANA, AK~NENANA, ALASKA~~~~0~P00.0
ENO~~ENCARNACION, PARAGUAY~NO STA DATA~~~~~
ENQ~MHSC~NOT IN TBL~PALMEROLA HONDURAS~COL ENRIQUE SOTO CANO AB~14.22.9N~087.37.2W~2061~M06.0
ENS~EHTW~ENSCHEDE, NETHERLANDS~ENSCHEDE NETHERLANDS~TWENTHE AB~52.16.5N~006.53.3E~114~P01.0
ENT~~ENIWETOK, US PACIFIC IS~NO STA DATA~~~~~
ENU~DNEN~ENUGU, NIGERIA~ENUGU NIGERIA~ENUGU~06.28.0N~007.33.5E~466~P01.0
ENV~KENV~WENDOVER, UT~WENDOVER UTAH~WENDOVER~40.43.1N~114.01.9W~4240~M07.0
ENW~KENW~KENOSHA, WI~KENOSHA, WI~KENOSHA REGL~42.35.7N~087.55.6W~743~M06.0
ENX~~RESERVED 38, MACAU~NO STA DATA~~~~~
ENY~~YAN AN, CHINA~NO STA DATA~~~~~
ENZ~~MYSTERY ESCAPE, NEW ZEALAND~NO STA DATA~~~~~
EOH~~MEDELLIN, COLOMBIA~NO STA DATA~~~~~
EOI~~EDAY, UNITED KINGDOM~NO STA DATA~~~~~
EOK~~KEOKUK, IA~NO STA DATA~~~~~
EOR~~EL DORADO VE, VENEZUELA~NO STA DATA~~~~~
EOZ~~ELORZA, VENEZUELA~NO STA DATA~~~~~
EPA~~PANTANAL LINHAS, BRAZIL~NO STA DATA~~~~~
EPH~KEPH~EPHRATA, WA~EPHRATA WA~EPHRATA MUN~47.18.2N~119.30.8W~1272~M08.0
EPI~~EPI, VANUATU~NO STA DATA~~~~~
EPL~LFSG~EPINAL, FRANCE~MIRECOURT FRANCE~MIRECOURT~48.19.3N~006.03.9E~1086~P01.0
EPN~~EPENA, CONGO REPUBLIC~NO STA DATA~~~~~
EPR~~ESPERANCE, AUSTRALIA~CREWMEMBER EPR CITY~~~~1~M06.0
EPT~~ELIPTAMIN, PAPUA NEW GUINE~NO STA DATA~~~~~
EPX~~NOT IN TBL~AMR SVC EL PASO, TX~~~~1~P00.0
EQS~SAVE~ESQUEL, ARGENTINA~ESQUEL ARGENTINA~ESQUEL~42.54.4S~071.08.6W~2582~M03.0
ERA~~ERIGAVO, SOMALIA~NO STA DATA~~~~~
ERB~~ERNABELLA, AUSTRALIA~NO STA DATA~~~~~
ERC~LTCD~ERZINCAN, TURKEY~ERZINCAN, TURKEY~ERZINCAN~39.42.8N~039.31.2E~3783~P02.0
ERD~~BERDYANSK, UKRAINE~NO STA DATA~~~~~
ERE~~ERAVE, TURKEY~NO STA DATA~~~~~
ERF~EDDE~ERFURT, GERMANY~ERFURT GERMANY~ERFURT~50.58.7N~010.57.4E~1034~P01.0
ERG~~NOT IN TBL~EVERGREEN AVTN, MARANA, AR~~~~1891~M07.0
ERH~GMFK~ERRACHIDLA, MOROCCO~ERRACHIDIA MOROCCO~MOULAY ALI CHERIF~31.57.0N~004.24.0W~3400~P00.0
ERI~KERI~ERIE, PA~ERIE PA~ERIE INTL~42.04.9N~080.10.5W~732~M05.0
ERM~~ERECHIM, BRAZIL~NO STA DATA~~~~~
ERN~~EIRUNEPE, BRAZIL~NO STA DATA~~~~~
ERO~~ERO ERO ERO ERO, NY~NO STA DATA~~~~~
ERQ~~E R S, KS~NO STA DATA~~~~~
ERS~~WINDHOEK EROS, NAMIBIA~NO STA DATA~~~~~
ERU~~ERUME, PAPUA NEW GUINE~NO STA DATA~~~~~
ERV~KERV~KERRVILLE, TX~KERRVILLE MUN-SCHREINER~KERRVILLE MUN-SCHREINER~29.58.6N~099.05.1W~1617~M06.0
ERZ~LTCE~ERZURUM, TURKEY~ERZURUM TURKEY~ERZURUM~39.57.3N~041.10.1E~5761~P02.0
ESA~~ESA ALA, PAPUA NEW GUINE~NO STA DATA~~~~~
ESB~LTAC~ANKARA ESENBOGA, TURKEY~ANKARA TURKEY~ESENBOGA~40.07.6N~032.59.7E~3125~P02.0
ESC~KESC~ESCANABA, MI~ESCANABA MICHIGAN~DELTA CO~45.43.3N~087.05.6W~609~M05.0
ESD~~EASTSOUND, WA~NO STA DATA~~~~~
ESE~~ENSENADA, MEXICO~NO STA DATA~~~~~
ESF~KESF~ALEXANDRIA LA, LA~ALEXANDRIA LA~ALEXANDRIA ESLER REGL~31.23.6N~092.17.7W~112~M06.0
ESG~~MARSCL ESTIGARRBL, PARAGUAY~NO STA DATA~~~~~
ESH~~SHOREHAM BY SEA, UNITED KINGDOM~NO STA DATA~~~~~
ESI~~ESPINOSA, BRAZIL~NO STA DATA~~~~~
ESK~LTBI~ESKISEHIR, TURKEY~ESKISEHIR, TURKEY~ESKISEHIR~39.47.1N~030.35.0E~2579~P02.0
ESL~~ELISTA, RUSSIA~NO STA DATA~~~~~
ESM~SETN~ESMERALDAS, ECUADOR~ESMERALDAS EQUADOR~GENERAL RIVADENEIRA APT.~00.58.9N~079.37.5W~23~M05.0
ESN~KESN~EASTON, MD~EASTON MD~EASTON/NEWNAM~38.48.2N~076.04.1W~1138~M05.0
ESO~~ESPANOLA, NM~NO STA DATA~~~~~
ESP~~EAST STROUDSBURG, PA~NO STA DATA~~~~~
ESQ~~SUNQUEST VACATION, CANADA~NO STA DATA~~~~~
ESR~~EL SALVADOR, CHILE~NO STA DATA~~~~~
ESS~~ESSEN, GERMANY~NO STA DATA~~~~~
EST~KEST~ESTHERVILLE, IA~ELEC SYS. TRANSPORT -DFW~ESTHERVILLE MUN~43.24.4N~094.44.7W~1~P00.0
ESZ~~RESERVED 39, CHINA~NO STA DATA~~~~~
ETA~~ELEANOR TRAVEL, UNITED KINGDOM~NO STA DATA~~~~~
ETB~~WEST BEND, WI~NO STA DATA~~~~~
ETC~~CONQUEST TOURS, CA~NO STA DATA~~~~~
ETD~~ETADUNNA, AUSTRALIA~NO STA DATA~~~~~
ETE~~GENDA WUHA, ETHIOPIA~NO STA DATA~~~~~
ETG~~EL TIGRE, VENEZUELA~NO STA DATA~~~~~
ETH~LLET~ELAT, ISRAEL~ELAT ISREAL~EILAT J. HOZMAN~ISREAL~034.57.5E~42~P02.0
ETN~~EASTLAND, TX~NO STA DATA~~~~~
ETQ~~MARRIOTT CONF CTR, MD~NO STA DATA~~~~~
ETR~~TRUST INTL HOTELS, FL~NO STA DATA~~~~~
ETS~~ENTERPRISE, AL~NO STA DATA~~~~~
ETT~~E T TRANSACTION, WA~NO STA DATA~~~~~
ETX~~ELEC TIX, WA~NO STA DATA~~~~~
ETZ~LFJL~METZ NANCY LORRNE, FRANCE~METZ-NANCY-LORRAINE FRANCE~METZ-NANCY/LORRAINE~48.58.7N~006.14.8E~869~P01.0
EUA~~EUA, TONGA~NO STA DATA~~~~~
EUC~~EUCLA, AUSTRALIA~NO STA DATA~~~~~
EUE~~EUREKA NV, NV~NO STA DATA~~~~~
EUF~KEUF~EUFAULA, AL~EUFAULA- ALABAMA~WEEDON~31.57.0N~085.07.7W~285~M06.0
EUG~KEUG~EUGENE, OR~EUGENE OR~MAHLON SWEET~44.07.3N~123.13.1W~365~M08.0
EUK~~AIR UK, UNITED KINGDOM~NO STA DATA~~~~~
EUM~~NEUMUENSTER, GERMANY~NO STA DATA~~~~~
EUN~GMML~LAAYOUNE, MOROCCO~LAAYOUNE MOROCCO~LAAYOUNE HASSAN I~27.10.0N~013.13.0W~207~P00.0
EUR~~RAIL EUROPE, CO~NO STA DATA~~~~~
EUS~~EUROPA SPECTRUM, TX~NO STA DATA~~~~~
EUT~~EUROSTAR UK LTD, UNITED KINGDOM~NO STA DATA~~~~~
EUX~~ST EUSTATIUS, NETHERLANDS AN~NO STA DATA~~~~~
EVA~~EVADALE, TX~NO STA DATA~~~~~
EVB~~EVA AIRWAYS, TAIWAN~NO STA DATA~~~~~
EVD~~EVA DOWNS, AUSTRALIA~NO STA DATA~~~~~
EVE~ENEV~EVENES, NORWAY~EVENES NORWAY~EVENES~68.29.5N~016.40.7E~85~P01.0
EVG~ESND~SVEG, SWEDEN~SVEG SWEDEN~SVEG~62.02.9N~014.25.6E~1176~P01.0
EVH~~EVANS HEAD, AUSTRALIA~NO STA DATA~~~~~
EVM~~EVELETH, MN~NO STA DATA~~~~~
EVN~~YEREVAN, ARMENIA~NO STA DATA~~~~~
EVP~~VASP, BRAZIL~NO STA DATA~~~~~
EVV~KEVV~EVANSVILLE, IN~EVANSVILLE IN~EVANSVILLE REGL~38.02.2N~087.31.8W~418~M06.0
EVW~KEVW~EVANSTON, WY~EVANSTON WY~EVANSTON-UINTA CO BURNS~41.16.4N~111.01.9W~7163~M07.0
EVX~LFOE~EVREUX, FRANCE~FAUVILLE AB FRANCE~FAUVILLE AB~49.01.7N~001.13.2E~463~P01.0
EVZ~~AGENCIAS VASSALLI, NICARAGUA~NO STA DATA~~~~~
EWB~KEWB~NEW BEDFORD, MA~NEW BEDFORD MA~NEW BEDFORD REGL~41.40.5N~070.57.4W~80~M05.0
EWE~~EWER, INDONESIA~NO STA DATA~~~~~
EWH~~B AND V ASSOCS, NY~NO STA DATA~~~~~
EWI~~ENAROTALI, INDONESIA~NO STA DATA~~~~~
EWK~KEWK~NOT IN TBL~NEWTON KS~NEWTON CITY CO~38.03.4N~097.16.5W~1533~M06.0
EWN~KEWN~NEW BERN, NC~NEW BERN NC~CRAVEN CO REGL~35.04.3N~077.02.5W~19~M05.0
EWO~~EWO, CONGO REPUBLIC~NO STA DATA~~~~~
EWR~KEWR~NEWARK, NJ~NEWARK NJ~NEWARK INTL~40.41.5N~074.10.1W~18~M05.0
EXC~~EXCESS BAG AS, WA~NO STA DATA~~~~~
EXI~~EXCURSION, AK~NO STA DATA~~~~~
EXL~~AMERICAN AIRLINES, TX~NO STA DATA~~~~~
EXM~~EXMOUTH, AUSTRALIA~NO STA DATA~~~~~
EXT~EGTE~EXETER, UNITED KINGDOM~EXTER, UNITED KINGDOM~EXETER~50.44.0N~003.24.7W~102~P00.0
EYA~~TRANS BLG TST GRP, TX~NO STA DATA~~~~~
EYI~~DFW PSGR SALES, TX~NO STA DATA~~~~~
EYL~~YELIMANE, MALI~NO STA DATA~~~~~
EYP~~EL YOPAL, COLOMBIA~NO STA DATA~~~~~
EYR~~YERINGTON, NV~NO STA DATA~~~~~
EYW~KEYW~KEY WEST, FL~KEY WEST FL~KEY WEST INTL~24.33.3N~081.45.5W~4~M05.0
EZA~~EAASY SABRE AMDS, TX~NO STA DATA~~~~~
EZE~SAEZ~BUENOS AIRES EZE, ARGENTINA~BUENOS AIRES ARGENTINA~EZEIZA INTL MINISTRO PIS~34.49.1S~058.32.2W~66~M03.0
EZI~~AVIS EUROPE, UNITED KINGDOM~NO STA DATA~~~~~
EZL~~ATT, TX~NO STA DATA~~~~~
EZR~~EZ RENT A CAR, FL~NO STA DATA~~~~~
EZS~LTCA~ELAZIG, TURKEY~ELAZIG TURKEY~ELAZIG~38.36.3N~039.17.6E~2961~P02.0
EZZ~~LAX PSGR SALES, CA~NO STA DATA~~~~~
FAA~~FARANAH, GUINEA~FAA EXEMPTION 5487 CITY~~~~676~M06.0
FAB~~FARNBOROUGH UK, UNITED KINGDOM~NO STA DATA~~~~~
FAC~~FAAITE, FRENCH POLYNESI~NO STA DATA~~~~~
FAD~OEDF~FIELD ADMINSTRTN, TX~KING FAHD SAUDI ARABIA~KING FAHD~26.28.3N~049.47.9E~65~P03.0
FAE~EKVG~FAROE ISLANDS, FAROE ISLANDS~FAROE ISLAND DENMARK~VAGAR~62.03.8N~007.16.6W~280~P01.0
FAG~~FAGURHOLSMYRI, ICELAND~ANTOFAGASTA CHILE~~~~449~M04.0
FAI~PAFA~FAIRBANKS INTL, AK~FAIRBANKS ALASKA~FAIRBANKS INTL~64.48.8N~147.51.5W~434~M09.0
FAJ~~FAJARDO, PUERTO RICO~NO STA DATA~~~~~
FAK~~FALSE ISLAND, AK~NO STA DATA~~~~~
FAL~LA30~NEW ROADS, LA~NEW ROADS LA~FALSE RIVER~30.43.0N~091.28.7W~39~M06.0
FAM~~FARMINGTON MO, MO~NO STA DATA~~~~~
FAN~ENLI~FARSUND, NORWAY~FARSUND NORWAY~LISTA~58.06.0N~006.37.5E~32~P01.0
FAO~LPFR~FARO PT, PORTUGAL~FARO PORTUGAL~FARO~37.00.7N~007.57.8W~24~P00.0
FAP~~BUENOS AIRES ASSC, ARGENTINA~NO STA DATA~~~~~
FAR~KFAR~FARGO, ND~FARGO ND~HECTOR INTL~46.55.1N~096.48.8W~900~M06.0
FAS~~FASKRUDSFJORDUR, ICELAND~NO STA DATA~~~~~
FAT~KFAT~FRESNO, CA~FRESNO CA~FRESNO YOSEMITE INTL~36.46.5N~119.43.0W~332~M08.0
FAV~~FAKARAVA, FRENCH POLYNESI~NO STA DATA~~~~~
FAW~FAWK~NOT IN TBL~WATERKLOOF SOUTH AFRICA~WATERKLOOF AB~25.49.7S~028.13.3E~4841~P02.0
FAX~~PSGR RECORDS HDQ, TX~NO STA DATA~~~~~
FAY~KFAY~FAYETTEVILLE NC, NC~FAYETTEVILLE NC~FAYETTEVILLE REGL/GRANNIS~34.59.4N~078.52.7W~190~M05.0
FBA~~BRITISH AIRWAYS, AUSTRALIA~NO STA DATA~~~~~
FBC~~CAZAUX AB FR, FRANCE~NO STA DATA~~~~~
FBD~~FAIZABAD, AFGHANISTAN~NO STA DATA~~~~~
FBE~~FRANCISCO BELTRAO, BRAZIL~NO STA DATA~~~~~
FBF~~STIN FINANCE, TX~NO STA DATA~~~~~
FBK~PAFB~FAIRBANKS FBK, AK~FT WAINWRIGHT ALASKA~WAINWRIGHT AAF~64.50.1N~147.37.0W~448~M09.0
FBL~~FARIBAULT, MN~NO STA DATA~~~~~
FBM~FZQA~LUBUMBASHI, ZAIRE REPUBLIC~LUBUMBASHI ZAIRE~LUBUMBASHI INTL~11.35.4S~027.31.5E~4295~P02.0
FBR~KFBR~FT BRIDGER, WY~FORT BRIDGER WY~FT BRIDGER~41.23.5N~110.24.4W~7033~M07.0
FBU~ENFB~OSLO FORNEBU, NORWAY~OSLO NORWAY~FORNEBU~59.53.7N~010.37.1E~54~P01.0
FBW~~BWIA FOCUS MANUAL, TRINIDAD~NO STA DATA~~~~~
FBX~~AD HOC D, CANADA~NO STA DATA~~~~~
FBY~~AD HOC E, CANADA~NO STA DATA~~~~~
FBZ~~AD HOC F, CANADA~NO STA DATA~~~~~
FCA~KFCA~KALISPELL GLCR PK, MT~KALISPELL MT~GLACIER PARK INTL~48.18.6N~114.15.3W~1~M07.0
FCB~~FICKSBURG, SOUTH AFRICA~NO STA DATA~~~~~
FCC~~NOT IN TBL~FREIGHT CONTROL~~~~676~M06.0
FCD~~PAN AM, ITALY~NO STA DATA~~~~~
FCE~~CHAPARRAL, TX~NO STA DATA~~~~~
FCF~~ALASKA AIR DSPTCH, WA~NO STA DATA~~~~~
FCG~~NOT IN TBL~FOS CONTROL GROUP HDQ~~~~1~M06.0
FCH~KFCH~FRESNO CHANDLER, CA~FRESNO CA~FRESNO-CHANDLER DOWNTOWN~36.43.9N~119.49.1W~278~M08.0
FCL~~STIN CLAS DIV, FL~NO STA DATA~~~~~
FCM~~MINNEAPOLIS FCM, MN~NO STA DATA~~~~~
FCO~LIRF~ROME FIUMICINO, ITALY~ROME ITALY~FIUMICINO~41.48.6N~012.15.1E~14~P01.0
FCP~~CANADIAN AIRLINES, AUSTRALIA~NO STA DATA~~~~~
FCQ~~NOT IN TBL~FOS CONTROL GROUP~~~~1~M06.0
FCT~~4 WINDS COMP TSPT, CA~NO STA DATA~~~~~
FCX~~CATHAY PACIFIC, AUSTRALIA~NO STA DATA~~~~~
FCY~~FORREST CITY, AR~NO STA DATA~~~~~
FDE~~FORDE, NORWAY~NO STA DATA~~~~~
FDF~TFFF~FORT DE FRANCE, MARTINIQUE~MARTINIQUE~LE LAMENTIN~14.35.4N~060.59.9W~16~M04.0
FDH~EDNY~FRIEDRICHSHAFEN, GERMANY~FRIEDRICHSHAFEN, GERMANY~FRIEDRICHSHAFEN~47.40.2N~009.30.7E~1366~P01.0
FDK~KFDK~FREDERICK MD, MD~FREDERICK MD~FREDERICK MUN~39.25.0N~077.22.4W~305~M05.0
FDR~KFDR~FREDERICK OK, OK~FREDERICK OK~FREDERICK MUN~34.21.1N~098.59.0W~1255~M06.0
FDU~~BANDUNDU, ZAIRE REPUBLIC~NO STA DATA~~~~~
FDY~KFDY~FINDLAY, OH~FINDLAY, OH~FINDLAY~41.00.8N~083.40.1W~812~M05.0
FEA~~FETLAR ISLAND, UNITED KINGDOM~NO STA DATA~~~~~
FEB~~SANFEBAGAR, NEPAL~NO STA DATA~~~~~
FEC~~FEIRA DE SANTANA, BRAZIL~NO STA DATA~~~~~
FEE~~EXCESS BAG AS, WA~NO STA DATA~~~~~
FEG~~FERGANA, UZBEKISTAN~NO STA DATA~~~~~
FEI~~AER LINGUS, IRELAND~NO STA DATA~~~~~
FEJ~~FEIJO, BRAZIL~NO STA DATA~~~~~
FEK~~FERKESSEDOUGOU, IVORY COAST~NO STA DATA~~~~~
FEL~ETSF~FURSTENFELDBRUCK, GERMANY~FURSTENFELDBRUCK, GERMANY~FURSTENFELDBRUCK AB~48.12.3N~011.16.0E~1703~P01.0
FEN~SBFN~FERNANDO NORONHA, BRAZIL~FERNANDO DE NOROHNA BRAZ~FERNANDO DE NORONHA~03.51.0S~032.25.0W~180~M03.0
FEP~~FREEPORT IL, IL~NO STA DATA~~~~~
FEQ~~FORTE MERIDIEN, UNITED KINGDOM~NO STA DATA~~~~~
FER~~FERGUSONS GULF, KENYA~NO STA DATA~~~~~
FEX~~RESERVED 43, SINGAPORE~NO STA DATA~~~~~
FEZ~GMFF~FEZ, MOROCCO~FES MOROCCO~SAISS~33.56.0N~004.58.0W~1900~P00.0
FFB~~AIR CITY, GERMANY~NO STA DATA~~~~~
FFC~KFFC~NOT IN TBL~PEACHTREE CITY~PEACHTREE CITY-FALCON~33.21.4N~084.34.3W~808~M05.0
FFD~EGVA~FAIRFORD, UNITED KINGDOM~FAIRFORD UK~FAIRFORD, UK~51.40.9N~001.47.4W~286~P00.0
FFF~~SCHEDULE CHANGE, OK~NO STA DATA~~~~~
FFK~~SALES AUTOMATION, TX~NO STA DATA~~~~~
FFM~KFFM~FERGUS FALLS, MN~FERGUS FALLS MN~FERGUS FALLS MUN-MICKELSON~46.17.0N~096.09.4W~1182~M06.0
FFO~KFFO~WRIGHT PATTERSON, OH~WRIGHT/PAT AFB DAYTON OH~WRIGHT PATTERSON AFB~39.49.4N~084.02.7W~824~M05.0
FFP~~BW PORT OF SPAIN, TRINIDAD~NO STA DATA~~~~~
FFR~~FORMATS FRANCAIS, TX~NO STA DATA~~~~~
FFT~KFFT~FRANKFORT, KY~FRANKFORD,KY~CAPITAL CITY~38.10.9N~084.54.2W~1~M05.0
FFU~~FUTALEUFU, CHILE~NO STA DATA~~~~~
FGA~~GARUDA INDONESIA, AUSTRALIA~NO STA DATA~~~~~
FGB~SFGB~GALILEO UK, TX~ALTERNATE APRT~FELICIA G. BELL ARPT~81.40.0S~120.00.0W~1~P00.0
FGC~~GALILEO CANADA, TX~NO STA DATA~~~~~
FGD~~FDERIK, ITALY~NO STA DATA~~~~~
FGE~~RESERVED 34, TAIWAN~NO STA DATA~~~~~
FGF~~PSA BOUNTIFUL, FRANCE~NO STA DATA~~~~~
FGI~~APIA FAGALI IS, WESTERN SAMOA~NO STA DATA~~~~~
FGL~~FOX GLACIER, NEW ZEALAND~NO STA DATA~~~~~
FGN~~AIR GABON, NY~NO STA DATA~~~~~
FGS~~GF PSA GULF REISE, GERMANY~NO STA DATA~~~~~
FGT~~FRENCH GVT TRST, NY~NO STA DATA~~~~~
FGU~~FANGATAU, FRENCH POLYNESI~NO STA DATA~~~~~
FGX~~RESERVED 44, SINGAPORE~NO STA DATA~~~~~
FHA~~HAWAIIAN FOCUS, HI~NO STA DATA~~~~~
FHD~~AA SALES PARIS, FRANCE~NO STA DATA~~~~~
FHU~KFHU~FT HUACHUCA, AZ~FORT HUACHUCA-SIERRA VISTA~LIBBY AAF-SIERRA VISTA MUN~31.35.3N~110.20.6W~4716~M07.0
FHZ~~FAKAHINA, FRENCH POLYNESI~NO STA DATA~~~~~
FIA~~ISLAND AIR CHTRS, FL~NO STA DATA~~~~~
FIB~~IBERIA, UNITED KINGDOM~NO STA DATA~~~~~
FIC~~FIRE COVE, AK~FLIGHT INFO CENTER QUEUE~~~~1~M06.0
FID~~FISHERS ISLAND, NY~NO STA DATA~~~~~
FIE~~FAIR ISLE, UNITED KINGDOM~NO STA DATA~~~~~
FIG~~FRIA, GUINEA~NO STA DATA~~~~~
FIH~FZAA~KINSHASA NDJILI, ZAIRE REPUBLIC~KINSHASA, ZAIRE~N DJILI INTL~04.23.0S~015.26.9E~1027~P01.0
FIK~~FINKE, AUSTRALIA~NO STA DATA~~~~~
FIL~~FILLMORE, UT~NO STA DATA~~~~~
FIN~~FINSCHHAFEN, PAPUA NEW GUINE~NO STA DATA~~~~~
FIO~~NOT IN TBL~MONTAUBAN, FR~~~~351~P01.0
FIR~~FIRST AIR, CANADA~NO STA DATA~~~~~
FIS~~ASSOCIATES FRAS, GERMANY~NO STA DATA~~~~~
FIT~~FIRSTOURS LAX, CA~NO STA DATA~~~~~
FIW~~TUL SCS HARDWARE, OK~NO STA DATA~~~~~
FIX~~SCS HARDWARE, OK~NO STA DATA~~~~~
FIZ~~FITZROY CROSSING, AUSTRALIA~NO STA DATA~~~~~
FJA~~JAPANESE SUB REF, TX~NO STA DATA~~~~~
FJF~~STIN FRANK FALCO, TX~NO STA DATA~~~~~
FJI~~MIDWAY FOCUS MANU, IL~NO STA DATA~~~~~
FJK~~MKTNG AUTOMTN, TX~NO STA DATA~~~~~
FJL~~JAPAN AIRLINES, AUSTRALIA~NO STA DATA~~~~~
FJR~OMFJ~AL FUJAIRAH, UNITED ARAB EMI~FUJAIRAH U.A.E~FUJAIRAH INTL~25.06.5N~056.19.8E~152~P04.0
FKB~~KARLSRUHE GERMANY, GERMANY~NO STA DATA~~~~~
FKI~FZIC~KISANGANI, ZAIRE REPUBLIC~KISANGANI ZAIRE~BANGOKA INTL~00.28.8N~025.19.9E~1417~P02.0
FKJ~~FUKUI, JAPAN~NO STA DATA~~~~~
FKL~KFKL~FRANKLIN, PA~FRANKLIN PA~VENANGO REGL~41.22.6N~079.51.6W~1540~M05.0
FKP~~KP FOCUS MANUAL, NY~NO STA DATA~~~~~
FKQ~~FAK FAK, INDONESIA~NO STA DATA~~~~~
FKS~RJSF~FUKUSHIMA, JAPAN~FUKUSHIMA JAPAN~FUKUSHIMA~37.13.6N~140.26.0E~1220~P09.0
FLA~~FLORENCIA, COLOMBIA~NO STA DATA~~~~~
FLB~~FLORIANO, BRAZIL~NO STA DATA~~~~~
FLC~~FALLS CREEK, AUSTRALIA~NO STA DATA~~~~~
FLD~~FOND DU LAC, WI~NO STA DATA~~~~~
FLF~~FLENSBURG, GERMANY~NO STA DATA~~~~~
FLG~KFLG~FLAGSTAFF, AZ~FLAGSTAFF AZ,~FLAGSTAFF PULLIAM~35.08.3N~111.40.2W~7011~M07.0
FLH~~FLOTTA ISLE, UNITED KINGDOM~NO STA DATA~~~~~
FLI~~FLATEYRI, ICELAND~NO STA DATA~~~~~
FLJ~~FALLS BAY, AK~NO STA DATA~~~~~
FLL~KFLL~FT LAUDERDALE, FL~FT LAUDERDALE FL~FT LAUDERDALE-HOLLYWOOD INTL~26.04.3N~080.09.1W~11~M05.0
FLM~~FILADELFIA, PARAGUAY~NO STA DATA~~~~~
FLN~SBFL~FLORIANOPOLIS, BRAZIL~FLORIANPOLIS BRAZIL~HERCILIO LUZ INTL~27.40.1S~048.33.1W~17~M03.0
FLO~KFLO~FLORENCE, SC~FLORENCE SC~FLORENCE REGL~34.11.1N~079.43.4W~147~M05.0
FLP~~FLIPPIN, AR~NO STA DATA~~~~~
FLR~LIRQ~FLORENCE, ITALY~FLORENCE, ITALY~PERETOLA~43.48.4N~011.12.1E~131~P01.0
FLS~~FLINDERS ISLAND, AUSTRALIA~NO STA DATA~~~~~
